race_number,program_number,horse_name,latest_surface,latest_distance,latest_time,latest_finish_position
4,2,Tierra Santa,Turf-Firm,5 1/2F,1:03.86,3
4,3,Feel the Bolt,Dirt-Fast,7 f,1:26.52,6
4,4,Littlegirljustice,Turf-Firm,1 m,1:35.94,10
4,5,God Willing,,,,
4,6,Valerie Street,Dirt-,7 f,1:28.63,3
4,7,LadsfirstloveGolden Lad,,,,
4,8,Spirit and Truth,Dirt-Good,6 f,1:16.50,5
5,1,Issano,Dirt-Fast,4F,0:47.11,3
5,2,Twice Gold,Dirt-Fast,5 1/2F,1:05.72,9
5,3,Bad Boy Blaze,Dirt-Fast,7 f,1:26.70,5
5,4,Box of Rockets,Dirt-Fast,5 1/2F,1:05.72,6
5,5,Skylar's Brother,Dirt-Fast,4 1/2F,0:53.56,1
5,6,Candycrumbs,Turf-Firm,5 f,0:56.96,5
5,7,Who Says So,Dirt-Fast,6 f,1:10.87,3
5,8,Repeatingofcourse,Dirt-Fast,6 1/2F,1:18.36,5
5,9,Buthespretty,Turf-Firm,5 f,0:56.96,9
6,1,Long Straw,Dirt-Fast,7 f,1:24.74,8
6,2,Chimney Sweep,Turf-Firm,5 1/2F,1:03.81,5
6,3,Thunder Cry,Dirt-Fast,6 f,1:12.76,4
6,4,Summerinthecountry,Dirt-Fast,6 f,1:12.76,2
6,5,Serendipitymonday,Turf-Firm,5 f,0:57.14,7
6,6,Katmandu,Dirt-Fast,4 1/2F,0:53.56,3
6,7,Stanza,Turf-Firm,5 1/2F,1:02.37,8
6,8,Bald Cypress,Dirt-Fast,4F,0:46.97,4
6,9,Star AtlasLiam's Map,,,,
6,10,Luca Machine,Turf-Firm,5 1/2F,1:03.81,2
6,11,Danner,Turf-Firm,5 f,0:57.14,5
6,12,The Commish,Turf-Firm,5 1/2F,1:02.80,7
6,13,Showpiece,Dirt-Fast,6 1/2F,1:20.70,6
7,1,Where's Ray,Turf-Firm,6 f,1:09.20,6
7,2,Big Z Og,Turf-Firm,5 1/2F,1:03.91,6
7,3,Speed Figures,Turf-Firm,5 1/2F,1:03.91,2
7,4,Tidewater,Turf-Firm,5 1/2F,1:02.34,7
7,5,Monsieur Candy,Turf-Firm,5 1/2F,1:02.69,1
7,6,Uncle Cat,Dirt-Fast,6 1/2F,1:18.76,3
7,7,Tenebris,Dirt,1 mile,1:36.79,1st
7,8,Quick Tempo,Turf-Firm,5 1/2F,1:02.85,1
7,9,Bolt of Aurum,Dirt-Fast,6 f,1:10.78,1
7,10,Uncle Dar,Turf-Firm,5 1/2F,1:03.91,3
7,11,Saxton,Turf-Firm,5 1/2F,1:02.66,2
7,12,Swill,Turf-Firm,5 1/2F,1:02.34,2
7,13,Take a Hint,Dirt-Fast,6 f,1:10.37,5
7,14,Nothing Better,Turf-Firm,5 1/2F,1:02.52,8
7,15,Maya Prince,Turf-Firm,5 1/2F,1:02.34,4
7,16,Lucci,Turf-Firm,5 f,0:56.60,2
8,1,Meg,Dirt-Fast,1 1/16M,1:50.80,2
8,2,Ghee for the Win,Dirt-Fast,6 1/2F,1:19.56,1
8,3,Reply,Dirt,1 70y,1:40.59,13th
8,4,Audibly,Dirt-Fast,1M 70Y,1:42.18,2
8,5,Rowsie Express,Dirt-Fast,1 m,1:40.57,1
8,6,Backstretch Rose,Dirt-,1 1/8 m,1:52.88,1
9,1,Gogo Chanel,Turf-Firm,1 m,1:36.31,2
9,2,Stop Watch,Turf-Firm,7 1/2F,1:29.29,1
9,3,Worth a Dime,Turf-Good,5 1/2F,1:04.00,7
9,4,Shine On Moon,Turf-Good,5 1/2F,1:04.00,8
9,5,Ballroom Eyes,Turf-Firm,1 1/16M,1:41.86,6
9,6,How Sweet She Is,Dirt-Fast,1 1/16M,1:46.35,2
9,7,Summer Whirl,Turf-Firm,1 1/16M,1:41.33,5
9,8,Baby Sox,Dirt-Fast,1 m,1:39.33,3
9,9,Dead Sexy,Turf-Firm,1 1/16M,1:41.88,6
10,1,Nancy's Notion,Turf-Firm,5 1/2F,1:04.92,6
10,2,My Grey Humor,Turf-Firm,5 1/2F,1:03.25,3
10,3,Hail No,Turf-Firm,5 1/2F,1:03.86,4
10,4,My Kinda Mischief,Turf-Firm,5 1/2F,1:04.92,5
10,5,Wikolia Lady,Turf-Firm,5 1/2F,1:03.25,6
10,6,Julia's a Fox,Dirt-Muddy,6 f,1:14.13,7
10,7,Always a Rye,Dirt-,6 f,1:12.34,8
10,8,Intel Agent,Turf-Firm,5 1/2F,1:03.25,4
10,9,Mae Be Mae,Dirt-Fast,5 1/2F,1:07.49,7
10,10,Not Cuz It's Easy,Turf-Firm,5 1/2F,1:03.60,6
10,11,Louvar,Turf-Firm,1 1/16M,1:43.86,10
10,12,Stars Align,Turf-Firm,5 1/2F,1:03.25,2
10,13,Need a Miracle,Dirt-Fast,4 1/2F,0:53.81,1
10,14,Collected Mist,Turf-Firm,5 f,0:57.27,5
10,15,Holy Brick,Dirt-Fast,4 1/2F,0:53.94,4
10,16,Cayuga,Turf-Firm,5 f,0:57.97,6
