track_name,race_number,post_position,program_number,horse_name,speed_figure,sire,trainer_jockey,morning_line
laurel-park,7,1,1,Where's Ray,97,Mshawish,Timothy E. SalzmanMartina Rojas,12/1
laurel-park,7,2,2,Big Z Og,89,Street Sense,Kathleen A. DemasiForest Boyce,15/1
laurel-park,7,3,3,Speed Figures,96,Souper Speedy,Kelly J. BreenJevian Toledo,6/1
laurel-park,7,4,4,Tidewater,90,Outflanker,"Anthony Aguirre, Jr.Jeiron Barbosa",20/1
laurel-park,7,5,5,Monsieur Candy,96,Catalina Red,Elizabeth M. MerrymanHoracio Karamanos,5/1
laurel-park,7,6,6,Uncle Cat,126,Nyquist,Somraj SinghTais Lyapustina,15/1MTO
laurel-park,7,7,7,Tenebris,107,Violence,Bruno TessoreDenis Vicente Araujo,30/1
laurel-park,7,8,8,Quick Tempo,92,Tapizar,Jamie NessMychel J. Sanchez,7/2
laurel-park,7,9,9,Bolt of Aurum,145,Bolt d'Oro,"Jorge Duarte, Jr.Horacio Karamanos",5/1MTO
laurel-park,7,10,10,Uncle Dar,95,Uncle Lino,J. Tyler ServisJohan Rosado,30/1
laurel-park,7,11,11,Saxton,93,Mosler,Brittany T. RussellSheldon Russell,8/1
laurel-park,7,12,12,Swill,98,Munnings,Richard P. SillamanDaniel Centeno,9/2
laurel-park,7,13,13,Take a Hint,105,Bandbox,Gary CapuanoYedsit Hazlewood,20/1MTO
laurel-park,7,14,14,Nothing Better,58,Munnings,"Jorge Duarte, Jr.Ismerio Villalobos",6/1
laurel-park,7,15,15,Maya Prince,94,Astern (AUS),Michael J. TrombettaJorge Ruiz,15/1
laurel-park,7,16,16,Lucci,97,Not This Time,Carl J. O'CallaghanJomar Torres,10/1AE
laurel-park,8,1,1,Meg,90,Blofeld,Timothy L. KeefeForest Boyce,5/1
laurel-park,8,2,2,Ghee for the Win,112,Sky Mesa,Hugh I. McMahonYedsit Hazlewood,10/1
laurel-park,8,3,3,Reply,76,Curlin,Brittany T. RussellSheldon Russell,2/1
laurel-park,8,4,4,Audibly,98,Audible,Gina PerriIsmerio Villalobos,6/1
laurel-park,8,5,5,Rowsie Express,92,Golden Lad,Jamie NessMychel J. Sanchez,5/2
laurel-park,8,6,6,Backstretch Rose,95,Army Mule,Lacey GaudetJohan Rosado,3/1
laurel-park,9,1,1,Gogo Chanel,99,Outwork,Damon R. DilodovicoSheldon Russell,5/2
laurel-park,9,2,2,Stop Watch,95,Not This Time,Cathal A. LynchDaniel Centeno,5/1
laurel-park,9,3,3,Worth a Dime,84,Mosler,Timothy L. KeefeForest Boyce,8/1
laurel-park,9,4,4,Shine On Moon,81,Bourbon Courage,Cathal A. LynchIsmerio Villalobos,9/2
laurel-park,9,5,5,Ballroom Eyes,86,Oxbow,Blake KellyYedsit Hazlewood,30/1
laurel-park,9,6,6,How Sweet She Is,104,Good Samaritan,Jamie NessMychel J. Sanchez,7/2
laurel-park,9,7,7,Summer Whirl,93,Arrogate,H. Graham MotionJorge Ruiz,3/1
laurel-park,9,8,8,Baby Sox,87,Collected,Joanne ShankleIsmerio Villalobos,12/1MTO
laurel-park,9,9,9,Dead Sexy,102,Holy Boss,Madison F. MeyersJohan Rosado,30/1
laurel-park,10,1,1,Nancy's Notion,48,Great Notion,Nancy B. HeilAndres Chavez,20/1
laurel-park,10,2,2,My Grey Humor,85,City of Light,Cathal A. LynchDaniel Centeno,3/1
laurel-park,10,3,3,Hail No,64,Get Stormy,Curtis Beale PayneDenis Vicente Araujo,5/1
laurel-park,10,4,4,My Kinda Mischief,58,Maximus Mischief,Tim WoolleyMychel J. Sanchez,30/1
laurel-park,10,5,5,Wikolia Lady,82,Twirling Candy,A. Ferris Allen IIIYomar Orlando Ortiz,6/1
laurel-park,10,6,6,Julia's a Fox,69,Bourbon Courage,Irvin G. FloresYan Rodriguez,20/1
laurel-park,10,7,7,Always a Rye,21,Gone Clubbing,Willie J. KeeJean Gregor Briceno,30/1
laurel-park,10,8,8,Intel Agent,84,Great Notion,Donald H. BarrJevian Toledo,5/1
laurel-park,10,9,9,Mae Be Mae,46,Uncle Lino,Damon R. DilodovicoMatilda Burnham,30/1
laurel-park,10,10,10,Not Cuz It's Easy,68,Hard Spun,W. Robert BailesYedsit Hazlewood,10/1
laurel-park,10,11,11,Louvar,65,Golden Years,Barry FoleyJorge Ruiz,20/1
laurel-park,10,12,12,Stars Align,86,Jimmy Creed,Michael J. TrombettaIsmerio Villalobos,7/2
laurel-park,10,13,13,Need a Miracle,67,Holy Boss,"Robert Leaf, Jr.Weston Hamilton",20/1AE
laurel-park,10,14,14,Collected Mist,71,Collected,Kevin MondayYan Rodriguez,5/1AE
laurel-park,10,15,15,Holy Brick,79,Holy Boss,Joanne ShankleJ.G. Torrealba,8/1AE
laurel-park,10,16,16,Cayuga,14,Madefromlucky,Lawrence M. SmithYomar Orlando Ortiz,30/1AE
