track_name,race_number,post_position,program_number,horse_name,speed_figure,sire,trainer_jockey,morning_line
laurel-park,1,1,1,She's a Gem,85,Golden Lad,Claudio A. GonzalezYedsit Hazlewood,12/1MTO
laurel-park,1,2,2,Golden Can,88,Golden Lad,W. Thomas McMahonYedsit Hazlewood,10/1
laurel-park,1,3,3,Quick Power Nap,84,Kantharos,Rudy R. RodriguezMychel J. Sanchez,5/2
laurel-park,1,4,4,Explosive Exchange,108,Handsome Mike,James M. CaseyYan Rodriguez,20/1
laurel-park,1,5,5,Afandi,80,Wrote (IRE),Bernard G. DunhamJ.G. Torrealba,6/1
laurel-park,1,6,6,Instparty,77,Tourist,A. Ferris Allen IIIDaniel Centeno,20/1
laurel-park,1,7,7,Society Ball,107,Great Notion,Brittany T. RussellJevian Toledo,5/2MTO
laurel-park,1,8,8,Social Whirl,85,Freud,Tim WoolleyHoracio Karamanos,12/1
laurel-park,1,9,9,Watch Me Disappear,76,Great Notion,"Robert Leaf, Jr.Xavier Perez",20/1
laurel-park,1,10,10,Lady Charlotte,106,Great Notion,Lacey GaudetForest Boyce,5/1
laurel-park,1,11,11,Wonder Girl,94,Klimt,Kieron MageeCarlos Eduardo Lopez,9/5
laurel-park,1,12,12,Paisley Singing,87,Golden Lad,Charles A. FrockTais Lyapustina,10/1MTO
laurel-park,2,1,1,Key Stat,104,Kantharos,Anthony FarriorJeiron Barbosa,5/2
laurel-park,2,2,2,Formal Affair,104,Catalina Cruiser,Jose CorralesMatilda Burnham,8/1
laurel-park,2,3,3,Notmyfirstrodeo,111,Tonalist,Timothy E. SalzmanJ.G. Torrealba,20/1
laurel-park,2,4,4,Night Time Nap,96,Violence,Brittany T. RussellJevian Toledo,3/1
laurel-park,2,5,5,Wonder Water,71,Divining Rod,Christine F. ClagettBrittany Scampton,30/1
laurel-park,2,6,6,Tuff Luck,91,Madefromlucky,Hugh I. McMahonYedsit Hazlewood,2/1
laurel-park,2,7,7,Deadpan,88,Distorted Humor,Lacey GaudetCarlos Eduardo Lopez,7/2
laurel-park,3,2,2,Selvaggia,83,McKinzie,Michael V. PinoMychel J. Sanchez,7/5
laurel-park,3,10,10,Motown Honey,69,Mo Town,Michael V. PinoJorge Ruiz,7/5
laurel-park,3,1,1,Endless Vow,86,The Factor,Horacio De PazJ.G. Torrealba,3/1
laurel-park,3,3,3,Jam's Paper Moon,85,Oscar Performance,Bruno TessoreDenis Vicente Araujo,5/1
laurel-park,3,4,4,Impetus Echo,59,(59)Acclamation (GB),"Michael E. Jones, Jr.Carlos Eduardo Lopez",20/1
laurel-park,3,5,5,Feather Wish,83,Mshawish,Damon R. DilodovicoYan Rodriguez,20/1
laurel-park,3,6,6,Queen Khaleesi,82,Lookin At Lucky,Erin C. McClellanJohan Rosado,6/1
laurel-park,3,7,7,Call Me Babe,84,Dialed In,Cathal A. LynchDaniel Centeno,12/1
laurel-park,3,8,8,Nobody's Girl,71,Good Magic,Miguel VeraYedsit Hazlewood,10/1
laurel-park,3,9,9,Mischievous Trick,77,Practical Joke,Curtis Beale PayneHoracio Karamanos,30/1
laurel-park,4,1,1,Dave the Great,75,Sharp Azteca,Claudio A. GonzalezAndres Chavez,7/2
laurel-park,4,2,2,Divine FutureDivining Rod,,,Diana L. McClureMatilda Burnham,30/1
laurel-park,4,3,3,Band Tour,66,Tourist,Elizabeth McCueJ.G. Torrealba,5/1
laurel-park,4,4,4,Dadio,60,Aldrin,Jacob G. HessElias Peltroche,10/1
laurel-park,4,5,5,War Thunder,76,War Dancer,Kelton BrownXavier Perez,30/1
laurel-park,4,6,6,Call Me a Cab,28,Hangover Kid,Hugh I. McMahonYedsit Hazlewood,6/1
laurel-park,4,7,7,Tom S,31,Tom's d'Etat,Bruno TessoreCarlos Eduardo Lopez,6/1
laurel-park,4,8,8,Fiery Debut,58,Friesan Fire,Elizabeth McCueYan Rodriguez,20/1
laurel-park,4,9,9,Maximus Thunder,69,Maximus Mischief,"Gary L. Williams, Jr.Jeiron Barbosa",20/1
laurel-park,4,10,10,Kohoutek,83,Cairo Prince,Sarah WhiteJorge Ruiz,4/1
laurel-park,4,11,11,Italiano Kid,67,Holy Boss,Irvin G. FloresJean Gregor Briceno,5/1
laurel-park,5,1,1,Lightning Boss,85,Holy Boss,Horacio De PazJ.G. Torrealba,9/2
laurel-park,5,2,2,Speedy Alex,98,Clubhouse Ride,Jose CorralesAndres Chavez,10/1
laurel-park,5,3,3,Mr. Mendelslew,77,Mendelssohn,Somraj SinghTais Lyapustina,5/1
laurel-park,5,4,4,Annihilate 'Em,76,Good Magic,Kevin J. FieldsInoel Beato,8/1
laurel-park,5,5,5,Fabelman,82,Honor Code,Dan WardMychel J. Sanchez,7/2
laurel-park,5,6,6,Vilaluz,57,City of Light,Jose CorralesYedsit Hazlewood,12/1
laurel-park,5,7,7,Birravino Blvd,88,Street Sense,Rodolfo Sanchez-SalomonJevian Toledo,5/2
laurel-park,5,8,8,Blue Marble,82,Accelerate,Patrick B. McBurneyForest Boyce,6/1
laurel-park,6,1,1,She's No Uncle,74,Uncle Lino,Jamie NessCarlos Eduardo Lopez,5/1
