race_number,program_number,horse_name,latest_surface,latest_distance,latest_time
1,1,Ade,Dirt-Fast,5 1/2F,1:06.36
1,2,Respect the Law,Turf-Firm,5 1/2F,1:03.39
1,3,Running Rio,Turf-Firm,6 f,1:08.17
1,4,Beyond Question,Turf-Firm,5 1/2F,1:03.20
1,5,A P M Notion,Dirt-Fast,6 f,1:12.66
1,6,Ariel Moon,Turf-Firm,5 1/2F,1:03.80
1,7,Granuaile,Turf-Firm,5 1/2F,1:03.30
1,8,Ms. Laobanniang,Turf-Firm,5 f,0:57.36
1,9,Sweet Honey Bee,Turf-Firm,5 1/2F,1:02.30
1,10,Query,Turf-Firm,5 f,0:57.36
1,11,Born Charmer,Turf-Firm,5 1/2F,1:03.80
1,12,Collected Dreams,Dirt-Fast,6 1/2F,1:21.65
2,1,Pippin the WarriorMadefromlucky,,,
2,2,El Papacito,Turf-Firm,5 1/2F,1:04.47
2,3,Our Ham Sandwich,Turf-Firm,5 1/2F,1:03.44
2,4,Golden Sand,Dirt-Fast,5 1/2F,1:06.56
2,5,Golden KidGolden Years,,,
2,6,Hard Freeze,Dirt-Fast,5 f,0:59.79
2,7,Pencil Me In,Dirt-Fast,5 f,0:59.79
3,1,Ecliptical Gina,Turf-Good,1 1/16M,1:45.95
3,2,Canadian Bear,Turf-Firm,1M 70Y,1:43.12
3,3,Practical Romance,Turf-Firm,1 1/8 m,1:51.16
3,4,Octet,Turf-Firm,1M 70Y,1:42.17
3,5,Bella Estrela,Turf-Good,1 m,1:38.23
3,6,Fabia,Turf-Good,1 1/16M,1:45.95
3,7,Happy This Day,Turf-Firm,1 1/16M,1:43.56
3,8,Steam Knot,Turf-Firm,5 1/2F,1:03.39
3,9,Infastuation,Dirt-Fast,6 f,1:12.66
3,10,Queen Rocket,Turf-Good,1 1/16M,1:45.46
3,11,Scholar,Turf-Good,1 1/16M,1:45.95
3,12,Learning to Fly,Turf-Good,1 1/16M,1:45.95
4,1,Gotta Be Da Shoes,Turf-Firm,5 1/2F,1:04.92
4,2,Tierra Santa,Turf-Firm,5 1/2F,1:03.86
4,3,Feel the Bolt,Dirt-Fast,7 f,1:26.52
4,4,Littlegirljustice,Turf-Firm,1 m,1:35.94
4,5,God Willing,,,
4,6,Valerie Street,Dirt-,7 f,1:28.63
4,7,LadsfirstloveGolden Lad,,,
4,8,Spirit and Truth,Dirt-Good,6 f,1:16.50
5,1,Issano,Dirt-Fast,4F,0:47.11
5,2,Twice Gold,Dirt-Fast,5 1/2F,1:05.72
5,3,Bad Boy Blaze,Dirt-Fast,7 f,1:26.70
5,4,Box of Rockets,Dirt-Fast,5 1/2F,1:05.72
5,5,Skylar's Brother,Dirt-Fast,4 1/2F,0:53.56
5,6,Candycrumbs,Turf-Firm,5 f,0:56.96
5,7,Who Says So,Dirt-Fast,6 f,1:10.87
5,8,Repeatingofcourse,Dirt-Fast,6 1/2F,1:18.36
5,9,Buthespretty,Turf-Firm,5 f,0:56.96
6,1,Long Straw,Dirt-Fast,7 f,1:24.74
6,2,Chimney Sweep,Turf-Firm,5 1/2F,1:03.81
6,3,Thunder Cry,Dirt-Fast,6 f,1:12.76
6,4,Summerinthecountry,Dirt-Fast,6 f,1:12.76
6,5,Serendipitymonday,Turf-Firm,5 f,0:57.14
6,6,Katmandu,Dirt-Fast,4 1/2F,0:53.56
6,7,Stanza,Turf-Firm,5 1/2F,1:02.37
6,8,Bald Cypress,Dirt-Fast,4F,0:46.97
6,9,Star AtlasLiam's Map,,,
6,10,Luca Machine,Turf-Firm,5 1/2F,1:03.81
6,11,Danner,Turf-Firm,5 f,0:57.14
6,12,The Commish,Turf-Firm,5 1/2F,1:02.80
6,13,Showpiece,Dirt-Fast,6 1/2F,1:20.70
7,1,Where's Ray,Turf-Firm,6 f,1:09.20
7,2,Big Z Og,Turf-Firm,5 1/2F,1:03.91
7,3,Speed Figures,Turf-Firm,5 1/2F,1:03.91
7,4,Tidewater,Turf-Firm,5 1/2F,1:02.34
7,5,Monsieur Candy,Turf-Firm,5 1/2F,1:02.69
