track,date,race_number,program_number,horse_name,entry_distance,entry_surface,profile_distance,profile_time,profile_surface,performance_score,calculation_status
,,1,1,Kiss for Lulu,,,,,,Invalid,Invalid distance
,,1,2,Irish Element,,,,,,Invalid,Invalid distance
,,1,3,Star of Delhi,,,,,,Invalid,Invalid distance
,,1,4,Fleet Brotato,,,,,,Invalid,Invalid distance
,,1,5,Fight Back,,,,,,Invalid,Invalid distance
,,1,6,Mav Man,,,,,,Invalid,Invalid distance
,,1,7,Zagreus,,,,,,Invalid,Invalid distance
,,1,8,Foreroyal,,,,,,Invalid,Invalid distance
,,1,9,Crime Lord,,,,,,Invalid,Invalid distance
,,1,10,Benny's Puzzle,,,,,,Invalid,Invalid distance
,,1,11,Brahms Mendelssohn,,,,,,Invalid,Invalid distance
,,2,1,A Friend of Mine,,,,,,Invalid,Invalid distance
,,2,2,Deep BlueEcho Town,,,,,,Invalid,Invalid distance
,,2,3,Joyful Mischief,,,,,,Invalid,Invalid distance
,,2,4,Gathered,,,,,,Invalid,Invalid distance
,,2,5,Music LadyAlways Dreaming,,,,,,Invalid,Invalid distance
,,3,1,Ivory Moon,,,,,,Invalid,Invalid distance
,,3,2,Violet Storm,,,,,,Invalid,Invalid distance
,,3,3,Twilight Empire,,,,,,Invalid,Invalid distance
,,3,4,Ole Silver,,,,,,Invalid,Invalid distance
,,4,1,Ariri,,,,,,Invalid,Invalid distance
,,4,2,Chai,,,,,,Invalid,Invalid distance
,,4,3,Princesa Moche,,,,,,Invalid,Invalid distance
,,4,4,Madonna of Loreto,,,,,,Invalid,Invalid distance
,,4,5,Sunglow,,,,,,Invalid,Invalid distance
,,4,6,Dare to Fly,,,,,,Invalid,Invalid distance
,,4,7,Yellow Sun Dress,,,,,,Invalid,Invalid distance
,,4,8,The Wild Grazer,,,,,,Invalid,Invalid distance
,,4,9,Invincible Molly,,,,,,Invalid,Invalid distance
,,4,10,Tight Squeeze,,,,,,Invalid,Invalid distance
,,5,1,Lil' Boom Boom,,,,,,Invalid,Invalid distance
,,5,2,Lena Lindgard,,,,,,Invalid,Invalid distance
,,5,3,Empress of Grace,,,,,,Invalid,Invalid distance
,,5,4,Misty Heart,,,,,,Invalid,Invalid distance
,,5,5,Approval Rating,,,,,,Invalid,Invalid distance
,,5,6,Sei Bella,,,,,,Invalid,Invalid distance
,,5,7,Headstrong Ways,,,,,,Invalid,Invalid distance
,,5,8,Maximun Gold,,,,,,Invalid,Invalid distance
,,5,9,Kool Tap Dancer,,,,,,Invalid,Invalid distance
,,6,1,Debbies Gettinghot,,,,,,Invalid,Invalid distance
,,6,2,Mo Holland Drive,,,,,,Invalid,Invalid distance
,,6,3,Sagunto,,,,,,Invalid,Invalid distance
,,6,4,Booked Clubhouse,,,,,,Invalid,Invalid distance
,,6,5,Dark BlueMaxfield,,,,,,Invalid,Invalid distance
,,6,6,Mystic Moses,,,,,,Invalid,Invalid distance
,,6,7,ScatalotadingdongSir Prancealot,,,,,,Invalid,Invalid distance
,,6,8,Eye of the Smiley,,,,,,Invalid,Invalid distance
,,6,9,Cal's GoalCairo Prince,,,,,,Invalid,Invalid distance
,,6,10,Senor Tequilas,,,,,,Invalid,Invalid distance
,,6,11,Another Bulleit,,,,,,Invalid,Invalid distance
,,6,12,Throwthefirstpunch,,,,,,Invalid,Invalid distance
,,7,1,Sugar Fish,,,,,,Invalid,Invalid distance
,,7,2,La Kika,,,,,,Invalid,Invalid distance
,,7,3,Cavalieri,,,,,,Invalid,Invalid distance
,,7,4,Howin,,,,,,Invalid,Invalid distance
,,7,5,Richi,,,,,,Invalid,Invalid distance
,,8,1,Waltz Across Texas,,,,,,Invalid,Invalid distance
,,8,2,Hello Kid O Kid O,,,,,,Invalid,Invalid distance
,,8,3,Princesa Del Tigre,,,,,,Invalid,Invalid distance
,,8,4,Practical Dazzle,,,,,,Invalid,Invalid distance
,,8,5,We the Hobby,,,,,,Invalid,Invalid distance
,,8,6,Lady Mendelssohn,,,,,,Invalid,Invalid distance
,,8,7,Lavender Love,,,,,,Invalid,Invalid distance
,,8,8,Miss Will,,,,,,Invalid,Invalid distance
,,8,9,California Rocks,,,,,,Invalid,Invalid distance
,,8,10,Quantum Innergy,,,,,,Invalid,Invalid distance
,,8,11,Garden Party,,,,,,Invalid,Invalid distance
,,8,12,True Patriot,,,,,,Invalid,Invalid distance
,,8,13,Dontmesswithtess,,,,,,Invalid,Invalid distance
,,8,14,Issa Court,,,,,,Invalid,Invalid distance
,,9,1,Dr. Venkman,,,,,,Invalid,Invalid distance
,,9,2,Straight No Chaser,,,,,,Invalid,Invalid distance
,,9,3,Awesome Rhythm,,,,,,Invalid,Invalid distance
,,9,4,Smooth Cruisein,,,,,,Invalid,Invalid distance
,,9,5,Speed Boat Beach,,,,,,Invalid,Invalid distance
,,9,6,Wound Up,,,,,,Invalid,Invalid distance
,,9,7,Mbagnick,,,,,,Invalid,Invalid distance
,,9,8,Imagination,,,,,,Invalid,Invalid distance
,,10,1,Edge of Mali,,,,,,Invalid,Invalid distance
,,10,2,Slick,,,,,,Invalid,Invalid distance
,,10,3,Cat The Confidante,,,,,,Invalid,Invalid distance
,,10,4,Take A Breath,,,,,,Invalid,Invalid distance
,,10,5,Atia,,,,,,Invalid,Invalid distance
,,10,6,Miss Artois,,,,,,Invalid,Invalid distance
,,10,7,Resolve,,,,,,Invalid,Invalid distance
,,10,8,Ribbons,,,,,,Invalid,Invalid distance
,,10,9,Hey Jessie,,,,,,Invalid,Invalid distance
,,10,10,Lila,,,,,,Invalid,Invalid distance
,,10,11,Hey Lil Lady,,,,,,Invalid,Invalid distance
,,10,12,Aleramo,,,,,,Invalid,Invalid distance
,,10,13,Delightful Laura,,,,,,Invalid,Invalid distance
,,10,14,Precise Timing,,,,,,Invalid,Invalid distance
