track,date,race_number,program_number,horse_name,entry_distance,entry_surface,profile_distance,profile_time,profile_surface,performance_score,calculation_status
laurel-park,2025-09-28,1,8,Ms. Laobanniang,6f,Dirt,5 f,0:57.36,Turf-Firm,4.75,Success
laurel-park,2025-09-28,1,10,Query,6f,Dirt,5 f,0:57.36,Turf-Firm,4.75,Success
laurel-park,2025-09-28,1,9,Sweet Honey Bee,6f,Dirt,5 1/2F,1:02.30,Turf-Firm,5.16,Success
laurel-park,2025-09-28,1,4,Beyond Question,6f,Dirt,5 1/2F,1:03.20,Turf-Firm,5.24,Success
laurel-park,2025-09-28,1,7,Granuaile,6f,Dirt,5 1/2F,1:03.30,Turf-Firm,5.24,Success
laurel-park,2025-09-28,1,2,Respect the Law,6f,Dirt,5 1/2F,1:03.39,Turf-Firm,5.25,Success
laurel-park,2025-09-28,1,6,Ariel Moon,6f,Dirt,5 1/2F,1:03.80,Turf-Firm,5.29,Success
laurel-park,2025-09-28,1,11,Born Charmer,6f,Dirt,5 1/2F,1:03.80,Turf-Firm,5.29,Success
laurel-park,2025-09-28,1,1,Ade,6f,Dirt,5 1/2F,1:06.36,Dirt-Fast,5.5,Success
laurel-park,2025-09-28,1,3,Running Rio,6f,Dirt,6F,1:08.17,Turf-Firm,5.65,Success
laurel-park,2025-09-28,1,5,A P M Notion,6f,Dirt,6F,1:12.66,Dirt-Fast,6.02,Success
laurel-park,2025-09-28,1,12,Collected Dreams,6f,Dirt,6 1/2F,1:21.65,Dirt-Fast,6.76,Success
laurel-park,2025-09-28,2,6,Hard Freeze,6f,Dirt,5 f,0:59.79,Dirt-Fast,4.95,Success
laurel-park,2025-09-28,2,7,Pencil Me In,6f,Dirt,5 f,0:59.79,Dirt-Fast,4.95,Success
laurel-park,2025-09-28,2,3,Our Ham Sandwich,6f,Dirt,5 1/2F,1:03.44,Turf-Firm,5.26,Success
laurel-park,2025-09-28,2,2,El Papacito,6f,Dirt,5 1/2F,1:04.47,Turf-Firm,5.34,Success
laurel-park,2025-09-28,2,4,Golden Sand,6f,Dirt,5 1/2F,1:06.56,Dirt-Fast,5.51,Success
laurel-park,2025-09-28,2,1,Pippin the WarriorMadefromlucky,6f,Dirt,,,,,Success
laurel-park,2025-09-28,2,5,Golden KidGolden Years,6f,Dirt,,,,,Success
laurel-park,2025-09-28,3,8,Steam Knot,6f,Dirt,5 1/2F,1:03.39,Turf-Firm,5.25,Success
laurel-park,2025-09-28,3,9,Infastuation,6f,Dirt,6F,1:12.66,Dirt-Fast,6.02,Success
laurel-park,2025-09-28,3,5,Bella Estrela,6f,Dirt,1M,1:38.23,Turf-Good,8.14,Success
laurel-park,2025-09-28,3,4,Octet,6f,Dirt,1M 70Y,1:42.17,Turf-Firm,8.46,Success
laurel-park,2025-09-28,3,2,Canadian Bear,6f,Dirt,1M 70Y,1:43.12,Turf-Firm,8.54,Success
laurel-park,2025-09-28,3,7,Happy This Day,6f,Dirt,1 1/16M,1:43.56,Turf-Firm,8.58,Success
laurel-park,2025-09-28,3,10,Queen Rocket,6f,Dirt,1 1/16M,1:45.46,Turf-Good,8.74,Success
laurel-park,2025-09-28,3,1,Ecliptical Gina,6f,Dirt,1 1/16M,1:45.95,Turf-Good,8.78,Success
laurel-park,2025-09-28,3,6,Fabia,6f,Dirt,1 1/16M,1:45.95,Turf-Good,8.78,Success
laurel-park,2025-09-28,3,11,Scholar,6f,Dirt,1 1/16M,1:45.95,Turf-Good,8.78,Success
laurel-park,2025-09-28,3,12,Learning to Fly,6f,Dirt,1 1/16M,1:45.95,Turf-Good,8.78,Success
laurel-park,2025-09-28,3,3,Practical Romance,6f,Dirt,1 1/8 m,1:51.16,Turf-Firm,9.21,Success
laurel-park,2025-09-28,4,2,Tierra Santa,6f,Dirt,5 1/2F,1:03.86,Turf-Firm,5.29,Success
laurel-park,2025-09-28,4,1,Gotta Be Da Shoes,6f,Dirt,5 1/2F,1:04.92,Turf-Firm,5.38,Success
laurel-park,2025-09-28,4,8,Spirit and Truth,6f,Dirt,6 f,1:16.50,Dirt-Good,6.34,Success
laurel-park,2025-09-28,4,3,Feel the Bolt,6f,Dirt,7 f,1:26.52,Dirt-Fast,7.17,Success
laurel-park,2025-09-28,4,6,Valerie Street,6f,Dirt,7 f,1:28.63,Dirt-,7.34,Success
laurel-park,2025-09-28,4,4,Littlegirljustice,6f,Dirt,1 m,1:35.94,Turf-Firm,7.95,Success
laurel-park,2025-09-28,4,5,God Willing,6f,Dirt,,,,,Success
laurel-park,2025-09-28,4,7,LadsfirstloveGolden Lad,6f,Dirt,,,,,Success
laurel-park,2025-09-28,5,1,Issano,6f,Dirt,4F,0:47.11,Dirt-Fast,3.9,Success
laurel-park,2025-09-28,5,5,Skylar's Brother,6f,Dirt,4 1/2F,0:53.56,Dirt-Fast,4.44,Success
laurel-park,2025-09-28,5,6,Candycrumbs,6f,Dirt,5 f,0:56.96,Turf-Firm,4.72,Success
laurel-park,2025-09-28,5,9,Buthespretty,6f,Dirt,5 f,0:56.96,Turf-Firm,4.72,Success
laurel-park,2025-09-28,5,2,Twice Gold,6f,Dirt,5 1/2F,1:05.72,Dirt-Fast,5.44,Success
laurel-park,2025-09-28,5,4,Box of Rockets,6f,Dirt,5 1/2F,1:05.72,Dirt-Fast,5.44,Success
laurel-park,2025-09-28,5,7,Who Says So,6f,Dirt,6 f,1:10.87,Dirt-Fast,5.87,Success
laurel-park,2025-09-28,5,8,Repeatingofcourse,6f,Dirt,6 1/2F,1:18.36,Dirt-Fast,6.49,Success
laurel-park,2025-09-28,5,3,Bad Boy Blaze,6f,Dirt,7 f,1:26.70,Dirt-Fast,7.18,Success
laurel-park,2025-09-28,6,8,Bald Cypress,6f,Dirt,4F,0:46.97,Dirt-Fast,3.89,Success
laurel-park,2025-09-28,6,6,Katmandu,6f,Dirt,4 1/2F,0:53.56,Dirt-Fast,4.44,Success
laurel-park,2025-09-28,6,5,Serendipitymonday,6f,Dirt,5 f,0:57.14,Turf-Firm,4.73,Success
laurel-park,2025-09-28,6,11,Danner,6f,Dirt,5 f,0:57.14,Turf-Firm,4.73,Success
laurel-park,2025-09-28,6,7,Stanza,6f,Dirt,5 1/2F,1:02.37,Turf-Firm,5.17,Success
laurel-park,2025-09-28,6,12,The Commish,6f,Dirt,5 1/2F,1:02.80,Turf-Firm,5.2,Success
laurel-park,2025-09-28,6,2,Chimney Sweep,6f,Dirt,5 1/2F,1:03.81,Turf-Firm,5.29,Success
laurel-park,2025-09-28,6,10,Luca Machine,6f,Dirt,5 1/2F,1:03.81,Turf-Firm,5.29,Success
laurel-park,2025-09-28,6,3,Thunder Cry,6f,Dirt,6 f,1:12.76,Dirt-Fast,6.03,Success
laurel-park,2025-09-28,6,4,Summerinthecountry,6f,Dirt,6 f,1:12.76,Dirt-Fast,6.03,Success
laurel-park,2025-09-28,6,13,Showpiece,6f,Dirt,6 1/2F,1:20.70,Dirt-Fast,6.69,Success
laurel-park,2025-09-28,6,1,Long Straw,6f,Dirt,7 f,1:24.74,Dirt-Fast,7.02,Success
laurel-park,2025-09-28,6,9,Star AtlasLiam's Map,6f,Dirt,,,,,Success
laurel-park,2025-09-28,7,16,Lucci,6f,Dirt,5 f,0:56.60,Turf-Firm,4.69,Success
laurel-park,2025-09-28,7,4,Tidewater,6f,Dirt,5 1/2F,1:02.34,Turf-Firm,5.16,Success
laurel-park,2025-09-28,7,12,Swill,6f,Dirt,5 1/2F,1:02.34,Turf-Firm,5.16,Success
laurel-park,2025-09-28,7,15,Maya Prince,6f,Dirt,5 1/2F,1:02.34,Turf-Firm,5.16,Success
laurel-park,2025-09-28,7,14,Nothing Better,6f,Dirt,5 1/2F,1:02.52,Turf-Firm,5.18,Success
laurel-park,2025-09-28,7,5,Monsieur Candy,6f,Dirt,5 1/2F,1:02.69,Turf-Firm,5.19,Success
laurel-park,2025-09-28,7,11,Saxton,6f,Dirt,5 1/2F,1:02.66,Turf-Firm,5.19,Success
laurel-park,2025-09-28,7,8,Quick Tempo,6f,Dirt,5 1/2F,1:02.85,Turf-Firm,5.21,Success
laurel-park,2025-09-28,7,2,Big Z Og,6f,Dirt,5 1/2F,1:03.91,Turf-Firm,5.29,Success
laurel-park,2025-09-28,7,3,Speed Figures,6f,Dirt,5 1/2F,1:03.91,Turf-Firm,5.29,Success
laurel-park,2025-09-28,7,10,Uncle Dar,6f,Dirt,5 1/2F,1:03.91,Turf-Firm,5.29,Success
laurel-park,2025-09-28,7,1,Where's Ray,6f,Dirt,6 f,1:09.20,Turf-Firm,5.73,Success
laurel-park,2025-09-28,7,13,Take a Hint,6f,Dirt,6 f,1:10.37,Dirt-Fast,5.83,Success
laurel-park,2025-09-28,7,9,Bolt of Aurum,6f,Dirt,6 f,1:10.78,Dirt-Fast,5.86,Success
laurel-park,2025-09-28,7,6,Uncle Cat,6f,Dirt,6 1/2F,1:18.76,Dirt-Fast,6.53,Success
laurel-park,2025-09-28,7,7,Tenebris,6f,Dirt,1 mile,1:36.79,Dirt,8.02,Success
laurel-park,2025-09-28,8,2,Ghee for the Win,6f,Dirt,6 1/2F,1:19.56,Dirt-Fast,6.59,Success
laurel-park,2025-09-28,8,3,Reply,6f,Dirt,1 70y,1:40.59,Dirt,8.33,Success
laurel-park,2025-09-28,8,5,Rowsie Express,6f,Dirt,1 m,1:40.57,Dirt-Fast,8.33,Success
laurel-park,2025-09-28,8,4,Audibly,6f,Dirt,1M 70Y,1:42.18,Dirt-Fast,8.47,Success
laurel-park,2025-09-28,8,1,Meg,6f,Dirt,1 1/16M,1:50.80,Dirt-Fast,9.18,Success
laurel-park,2025-09-28,8,6,Backstretch Rose,6f,Dirt,1 1/8 m,1:52.88,Dirt-,9.35,Success
laurel-park,2025-09-28,9,3,Worth a Dime,6f,Dirt,5 1/2F,1:04.00,Turf-Good,5.3,Success
laurel-park,2025-09-28,9,4,Shine On Moon,6f,Dirt,5 1/2F,1:04.00,Turf-Good,5.3,Success
laurel-park,2025-09-28,9,2,Stop Watch,6f,Dirt,7 1/2F,1:29.29,Turf-Firm,7.4,Success
laurel-park,2025-09-28,9,1,Gogo Chanel,6f,Dirt,1 m,1:36.31,Turf-Firm,7.98,Success
laurel-park,2025-09-28,9,8,Baby Sox,6f,Dirt,1 m,1:39.33,Dirt-Fast,8.23,Success
laurel-park,2025-09-28,9,7,Summer Whirl,6f,Dirt,1 1/16M,1:41.33,Turf-Firm,8.4,Success
laurel-park,2025-09-28,9,5,Ballroom Eyes,6f,Dirt,1 1/16M,1:41.86,Turf-Firm,8.44,Success
laurel-park,2025-09-28,9,9,Dead Sexy,6f,Dirt,1 1/16M,1:41.88,Turf-Firm,8.44,Success
laurel-park,2025-09-28,9,6,How Sweet She Is,6f,Dirt,1 1/16M,1:46.35,Dirt-Fast,8.81,Success
laurel-park,2025-09-28,10,13,Need a Miracle,6f,Dirt,4 1/2F,0:53.81,Dirt-Fast,4.46,Success
laurel-park,2025-09-28,10,15,Holy Brick,6f,Dirt,4 1/2F,0:53.94,Dirt-Fast,4.47,Success
laurel-park,2025-09-28,10,14,Collected Mist,6f,Dirt,5 f,0:57.27,Turf-Firm,4.74,Success
laurel-park,2025-09-28,10,16,Cayuga,6f,Dirt,5 f,0:57.97,Turf-Firm,4.8,Success
laurel-park,2025-09-28,10,2,My Grey Humor,6f,Dirt,5 1/2F,1:03.25,Turf-Firm,5.24,Success
laurel-park,2025-09-28,10,5,Wikolia Lady,6f,Dirt,5 1/2F,1:03.25,Turf-Firm,5.24,Success
laurel-park,2025-09-28,10,8,Intel Agent,6f,Dirt,5 1/2F,1:03.25,Turf-Firm,5.24,Success
laurel-park,2025-09-28,10,12,Stars Align,6f,Dirt,5 1/2F,1:03.25,Turf-Firm,5.24,Success
laurel-park,2025-09-28,10,10,Not Cuz It's Easy,6f,Dirt,5 1/2F,1:03.60,Turf-Firm,5.27,Success
laurel-park,2025-09-28,10,3,Hail No,6f,Dirt,5 1/2F,1:03.86,Turf-Firm,5.29,Success
laurel-park,2025-09-28,10,1,Nancy's Notion,6f,Dirt,5 1/2F,1:04.92,Turf-Firm,5.38,Success
laurel-park,2025-09-28,10,4,My Kinda Mischief,6f,Dirt,5 1/2F,1:04.92,Turf-Firm,5.38,Success
laurel-park,2025-09-28,10,9,Mae Be Mae,6f,Dirt,5 1/2F,1:07.49,Dirt-Fast,5.59,Success
laurel-park,2025-09-28,10,7,Always a Rye,6f,Dirt,6 f,1:12.34,Dirt-,5.99,Success
laurel-park,2025-09-28,10,6,Julia's a Fox,6f,Dirt,6 f,1:14.13,Dirt-Muddy,6.14,Success
laurel-park,2025-09-28,10,11,Louvar,6f,Dirt,1 1/16M,1:43.86,Turf-Firm,8.6,Success
