track_name,race_number,post_position,program_number,horse_name,speed_figure,sire,trainer_jockey,morning_line
woodbine,8,9,9,Friendly Ghost,111,Outwork,Evette Chartrand-HoekSahin Civaci,5/2
woodbine,8,10,10,Summer Commander,107,Silent Name (JPN),Stuart C. SimonJose Luis Campos,3/1
woodbine,9,1,1,Scat Girl,115,Audible,Michael P. De PauloDaisuke Fukumoto,15/1
woodbine,9,2,2,D'aurum,77,Medaglia d'Oro,Kevin AttardPietro Moran,20/1
woodbine,9,3,3,Borealis Trail,107,Quality Road,Rachel HaldenJose Luis Campos,12/1
woodbine,9,4,4,Ciunas,96,Silent Name (JPN),Roger L. AttfieldSahin Civaci,4/1
woodbine,9,5,5,Aristella,117,More Than Ready,Rachel HaldenPatrick Husbands,6/1
woodbine,9,6,6,Watsonville Red,109,Hard Spun,Michael P. De PauloLeo Salles,20/1
woodbine,9,7,7,Faber,111,Improbable,Kevin AttardPietro Moran,8/1
woodbine,9,8,8,Sedburys Ghost,98,Shaman Ghost,Barbara J. MinshallRyan Munger,10/1
woodbine,9,9,9,Tom's Magic,114,Justify,Michael StidhamRafael Manuel Hernandez,1/1
woodbine,10,1,1,Runnin' Rocket,95,War Front,Martin DrexlerSahin Civaci,8/1
woodbine,10,2,2,Garden of War,97,War of Will,Mark E. CassePietro Moran,8/1
woodbine,10,3,3,Old Chestnut,119,Speightstown,Martin DrexlerEswan Flores,2/1
woodbine,10,4,4,Babbo,115,Kantharos,Sid C. AttardAustin Adams,6/1
woodbine,10,5,5,Giant Teddy,106,Giant Gizmo,Sylvain PionJalon L. Samuel,4/1
woodbine,10,6,6,Rat Portage,110,Reload,Tedston HolderSlade Jones,12/1
woodbine,10,7,7,Poseidon Steel,108,Frac Daddy,Gordon C. ColbourneRyan Munger,20/1
woodbine,10,8,8,Society's Thunder,102,Society's Chairman,Dominic J. PolsinelliJose Luis Campos,3/1
woodbine,11,1,1,Daddy Has Diamonds,101,Frac Daddy,Richard G. HayashiDavid Moran,8/1
woodbine,11,2,2,Awesome Rainbow,79,Old Forester,Norman McKnightXarel Forde,10/1
woodbine,11,3,3,Demba,94,Souper Speedy,Gail HughesAustin Adams,15/1
woodbine,11,4,4,Sunday's Well,79,Gamble's Exchange,Terry W. BrookerJose Luis Campos,3/1
woodbine,11,5,5,Glasweigian,92,Silent Name (JPN),Darwin D. BanachPietro Moran,6/1
woodbine,11,6,6,Dark Danger,92,Signature Red,Sid C. AttardEswan Flores,20/1
woodbine,11,7,7,Paynes Spirit,97,Shaman Ghost,Julia CareySahin Civaci,12/1
woodbine,11,8,8,Philip Banks,111,Silent Name (JPN),Tony Michael GattellaroRyan Munger,5/2
woodbine,11,9,9,Roar of the Crowd,100,Reload,Dominic J. PolsinelliKeveh Nicholls,5/1
woodbine,11,10,10,Mymathes Correct,108,Frac Daddy,Julie MathesKirk Johnson,20/1
